current_step,last_account,assets,action_summary,Total Reward,Reward,Cash,AAPL,AMZN,GOOGL,NFLX
1,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",99972.76000000001,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",-0.0027239999999990687,-0.0027239999999990687,46630.3542857532,908.0,0.0,0.0,0.0
2,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",100230.17986858441,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.02301798685844115,0.025741986858440216,77820.38893862041,0.0,0.0,67.0,0.0
3,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",99897.63344266842,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",-0.010236655733158115,-0.033254642591599264,92466.09067924922,0.0,0.0,0.0,656.0
4,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",100522.69629983002,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.05226962998300151,0.06250628571615963,80108.94796494921,0.0,0.0,0.0,1656.0
5,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",103325.8201123068,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.33258201123067993,0.28031238124767843,5.011132712016806,0.0,0.0,257.0,1658.0
6,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",102824.67895365022,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.2824678953650218,-0.050114115865658095,252.0889653690174,0.0,0.0,300.0,658.0
7,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",102900.18145807841,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.2900181458078412,0.007550250442819379,13.131822511617372,0.0,0.0,300.0,676.0
8,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",103452.72980617842,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.3452729806178424,0.055254834810001194,13.131822511617372,0.0,0.0,300.0,676.0
9,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",102930.88425287842,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.2930884252878415,-0.05218455533000088,80333.61639971161,0.0,0.0,0.0,1676.0
10,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",102953.71020654481,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.29537102065448123,0.0022825953666397256,166.7020603814135,1000.0,41.0,0.0,2562.0
11,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",105298.81149061801,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.5298811490618013,0.23451012840732002,9.853490524113482,1000.0,41.0,0.0,2573.0
12,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",107095.156060918,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.7095156060918002,0.1796344570299989,12.772136370313092,975.0,0.0,0.0,3214.0
13,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",104579.0379073605,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.45790379073605003,-0.25161181535575017,12.772136370313092,975.0,0.0,0.0,3214.0
14,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",102679.94203828262,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.2679942038282621,-0.1899095869077879,2.30881264261302,924.0,0.0,10.0,3228.0
15,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",101099.36365128141,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.10993636512814117,-0.15805783870012094,158.34626612700959,720.0,0.0,97.0,2228.0
16,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",103941.72445490041,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.39417244549004093,0.2842360803618998,96.74337790751451,35.0,0.0,298.0,1228.0
17,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",107376.03004797483,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.7376030047974825,0.3434305593074416,129.69257987161473,0.0,76.0,298.0,472.0
18,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",109787.0978881172,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.9787097888117204,0.24110678401423793,83755.8286859156,0.0,0.0,0.0,1472.0
19,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",110099.9658288148,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.0099965828814805,0.03128679406976007,19079.78940023,1000.0,0.0,0.0,1468.0
20,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",109493.93246702242,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.9493932467022416,-0.06060333617923898,2.5577755157032342,1000.0,98.0,0.0,1469.0
21,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",108526.79883192912,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.8526798831929118,-0.0967133635093298,46731.21040167491,786.0,13.0,0.0,469.0
22,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",108475.3346351364,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.8475334635136401,-0.00514641967927164,191.46988919270552,1393.0,0.0,17.0,719.0
23,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",109714.10568716821,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",0.9714105687168209,0.1238771052031807,5.3273872782065155,1540.0,0.0,0.0,475.0
24,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",110849.2578542907,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.08492578542907,0.1135152167122491,5.3273872782065155,1540.0,0.0,0.0,475.0
25,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",111825.50099935671,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.1825500999356706,0.09762431450660079,5.3273872782065155,1540.0,0.0,0.0,475.0
26,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",113260.23621431271,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.3260236214312708,0.1434735214956003,13.665085873908538,1161.0,0.0,112.0,0.0
27,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",116085.4702687978,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.6085470268797797,0.28252340544850885,13.665085873908538,1161.0,0.0,112.0,0.0
28,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",115786.73290146471,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.5786732901464708,-0.029873736733308762,10.269673939306841,428.0,0.0,282.0,5.0
29,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",117213.93756252751,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.721393756252751,0.14272046610628022,166.69031505350722,0.0,0.0,382.0,0.0
30,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",116745.43086472352,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.6745430864723512,-0.04685066978039977,19.13031762510721,2.0,0.0,382.0,0.0
31,"{'Cash': 111.87263434733717, 'AAPL': 1862.0, 'AMZN': 116.0, 'NFLX': 0.0, 'GOOGL': 167.0}",115939.05546193951,"{'AAPL': {'buy': 444, 'sell': 399, 'no-action': 414}, 'AMZN': {'buy': 334, 'sell': 287, 'no-action': 636}, 'NFLX': {'buy': 483, 'sell': 433, 'no-action': 341}, 'GOOGL': {'buy': 340, 'sell': 274, 'no-action': 643}}",1.5939055461939509,-0.08063754027840042,19.13031762510721,2.0,0.0,382.0,0.0
