current_step,last_account,assets,action_summary,Total Reward,Reward,Cash,AAPL,AMZN,GOOGL,NFLX
1,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",99976.42,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.0023580000000001746,-0.0023580000000001746,34.72901844309308,339.0,447.0,0.0,0.0
2,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",99390.4758391477,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.06095241608523065,-0.05859441608523048,162.38863414769366,0.0,559.0,0.0,0.0
3,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",99435.2491931477,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.0564750806852302,0.0044773354000004475,76.73924042769067,0.0,318.0,130.0,0.0
4,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",100438.3126315877,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",0.04383126315877017,0.10030634384400038,14.396382999190678,1.0,318.0,130.0,0.0
5,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",97355.1228999263,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.2644877100073703,-0.3083189731661405,72.64352585629068,0.0,318.0,130.0,0.0
6,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",97641.4093709863,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.23585906290137063,0.0286286471059997,0.20826521989098978,0.0,304.0,138.0,6.0
7,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",97654.96870214767,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.23450312978523288,0.0013559331161377486,75366.86181413489,55.0,32.0,0.0,1006.0
8,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",97529.80438443419,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.24701956155658117,-0.012516431771348289,76822.3829558403,0.0,0.0,0.0,1573.0
9,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",98021.56656743419,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.19784334325658126,0.049176218299999894,13.326620543696862,0.0,0.0,245.0,1585.0
10,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",98510.75189228819,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.14892481077118133,0.04891853248539992,32790.21442561739,283.0,167.0,0.0,1346.0
11,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",100676.9334621838,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",0.06769334621838066,0.216618156989562,9.770629976403143,1003.0,167.0,0.0,536.0
12,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",101674.5248346267,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",0.1674524834626704,0.09975913724428974,14.086968442901707,1534.0,0.0,0.0,536.0
13,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",99795.3512063629,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",-0.020464879363709748,-0.18791736282638014,14.086968442901707,1534.0,0.0,0.0,536.0
14,"{'Cash': 3669860.593854135, 'AAPL': 16503.0, 'AMZN': 7215.0, 'NFLX': 45432.0, 'GOOGL': 1451.0}",100821.8561683695,"{'AAPL': {'buy': 433, 'sell': 374, 'no-action': 450}, 'AMZN': {'buy': 411, 'sell': 334, 'no-action': 512}, 'NFLX': {'buy': 543, 'sell': 436, 'no-action': 278}, 'GOOGL': {'buy': 339, 'sell': 307, 'no-action': 611}}",0.0821856168369501,0.10265049620065984,62.7383895753992,959.0,116.0,0.0,1536.0
