current_step,last_account,assets,action_summary,Total Reward,Reward,Cash,AAPL,AMZN,GOOGL,NFLX
1,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",99985.24,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.0014759999999994762,-0.0014759999999994762,11902.480492000002,0.0,492.0,0.0,0.0
2,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",99227.738032,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.07722619680000062,-0.07575019680000114,69051.038882,0.0,170.0,0.0,0.0
3,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",99228.639052,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.07713609480000014,9.010200000047918e-05,39.31176594320931,4.0,0.0,300.0,0.0
4,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",97868.3925952572,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.21316074047427974,-0.1360246456742796,13.256035817204975,0.0,233.0,170.0,0.0
5,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",94546.35712144719,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.5453642878552811,-0.33220354738100144,2.809017342103054,878.0,233.0,0.0,3.0
6,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",94865.60590290089,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.513439409709911,0.03192487814537017,53.846053663008206,1341.0,0.0,0.0,1003.0
7,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",94168.3702353533,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.58316297646467,-0.06972356675475894,4.262572591902682,341.0,0.0,192.0,1020.0
8,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",94465.49260671361,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.553450739328639,0.029712237136031036,4.262572591902682,341.0,0.0,192.0,1020.0
9,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",94266.6195718564,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.5733380428143603,-0.01988730348572135,4.262572591902682,341.0,0.0,192.0,1020.0
10,"{'Cash': 14.777716998571123, 'AAPL': 1.0, 'AMZN': 0.0, 'NFLX': 3.0, 'GOOGL': 174.0}",94856.29329420411,"{'AAPL': {'buy': 378, 'sell': 330, 'no-action': 549}, 'AMZN': {'buy': 291, 'sell': 246, 'no-action': 720}, 'NFLX': {'buy': 430, 'sell': 390, 'no-action': 437}, 'GOOGL': {'buy': 297, 'sell': 245, 'no-action': 715}}",-0.5143706705795893,0.05896737223477103,32098.48799513451,518.0,22.0,0.0,2020.0
