current_step,last_account,assets,action_summary,Total Reward,Reward,Cash,AAPL,AMZN,GOOGL,NFLX
1,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",99962.10999999999,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",-0.003789000000001397,-0.003789000000001397,74191.6117142827,263.0,0.0,0.0,1000.0
2,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",101173.2105185609,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.11732105185608961,0.12111005185609101,33535.97543858249,756.0,0.0,0.0,2000.0
3,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",101320.8874699177,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.1320887469917696,0.01476769513567997,16.641553059293074,1331.0,0.0,0.0,1926.0
4,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",104068.0316581346,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.4068031658134598,0.27471441882169023,37.27554349359309,1335.0,0.0,3.0,1825.0
5,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",106956.65366254658,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.6956653662546581,0.28886220044119837,11.486219165183066,335.0,337.0,3.0,1829.0
6,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",106649.83664566829,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.6649836645668286,-0.03068170168782963,92.12129741888444,0.0,338.0,88.0,1351.0
7,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",105891.48040063019,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.5891480400630186,-0.07583562450380996,29336.903521173288,0.0,282.0,0.0,1983.0
8,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",105019.86011863018,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.5019860118630182,-0.08716202820000035,303.24128288678185,0.0,187.0,106.0,2918.0
9,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",106151.98405754418,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.6151984057544178,0.11321239389139956,35099.39549173668,0.0,0.0,114.0,2625.0
10,"{'Cash': 6853688.23342848, 'AAPL': 8157.0, 'AMZN': 3162.0, 'NFLX': 62653.0, 'GOOGL': 0.0}",106466.9812071512,"{'AAPL': {'buy': 427, 'sell': 375, 'no-action': 455}, 'AMZN': {'buy': 416, 'sell': 365, 'no-action': 476}, 'NFLX': {'buy': 557, 'sell': 444, 'no-action': 256}, 'GOOGL': {'buy': 340, 'sell': 322, 'no-action': 595}}",0.6466981207151199,0.03149971496070211,13.969694929081015,578.0,0.0,114.0,2625.0
